table at $140000 (2048 words, 24-bit)
idx(hex) hex frac(=/2^23)
256 (100) 45CAE0 +0.5452538
257 (101) 45D0ED +0.5454384
258 (102) 45D6FA +0.5456231
259 (103) 45DD07 +0.5458077
260 (104) 45E315 +0.5459925
261 (105) 45E923 +0.5461773
262 (106) 45EF32 +0.5463622
263 (107) 45F542 +0.5465472
264 (108) 45FB52 +0.5467322
265 (109) 460162 +0.5469172
266 (10a) 460773 +0.5471023
267 (10b) 460D85 +0.5472876
268 (10c) 461397 +0.5474728
269 (10d) 4619A9 +0.5476581
270 (10e) 461FBC +0.5478435
271 (10f) 4625D0 +0.5480289
272 (110) 462BE4 +0.5482144
273 (111) 4631F9 +0.5484000
274 (112) 46380E +0.5485857
275 (113) 463E24 +0.5487714
276 (114) 46443A +0.5489571
277 (115) 464A51 +0.5491430
278 (116) 465069 +0.5493289
279 (117) 465680 +0.5495148
280 (118) 465C99 +0.5497009
281 (119) 4662B2 +0.5498869
282 (11a) 4668CB +0.5500730
283 (11b) 466EE5 +0.5502592
284 (11c) 467500 +0.5504456
285 (11d) 467B1B +0.5506319
286 (11e) 468136 +0.5508182
287 (11f) 468752 +0.5510046
288 (120) 468D6F +0.5511912
289 (121) 46938C +0.5513778
290 (122) 4699AA +0.5515645
291 (123) 469FC8 +0.5517511
292 (124) 46A5E7 +0.5519379
293 (125) 46AC06 +0.5521247
294 (126) 46B226 +0.5523117
295 (127) 46B846 +0.5524986
296 (128) 46BE67 +0.5526856
297 (129) 46C489 +0.5528728
298 (12a) 46CAAB +0.5530599
299 (12b) 46D0CD +0.5532471
300 (12c) 46D6F0 +0.5534344
301 (12d) 46DD14 +0.5536218
302 (12e) 46E338 +0.5538092
303 (12f) 46E95C +0.5539966
304 (130) 46EF82 +0.5541842
305 (131) 46F5A7 +0.5543717
306 (132) 46FBCD +0.5545594
307 (133) 4701F4 +0.5547471
308 (134) 47081B +0.5549349
309 (135) 470E43 +0.5551227
310 (136) 47146C +0.5553107
311 (137) 471A94 +0.5554986
312 (138) 4720BE +0.5556867
313 (139) 4726E8 +0.5558748
314 (13a) 472D12 +0.5560629
315 (13b) 47333D +0.5562512
316 (13c) 473969 +0.5564395
317 (13d) 473F95 +0.5566279
318 (13e) 4745C1 +0.5568162
319 (13f) 474BEF +0.5570048
320 (140) 47521C +0.5571933
321 (141) 47584A +0.5573819
322 (142) 475E79 +0.5575706
323 (143) 4764A8 +0.5577593
324 (144) 476AD8 +0.5579481
325 (145) 477109 +0.5581371
326 (146) 47773A +0.5583260
327 (147) 477D6B +0.5585150
328 (148) 47839D +0.5587040
329 (149) 4789CF +0.5588931
330 (14a) 479002 +0.5590823
331 (14b) 479636 +0.5592716
332 (14c) 479C6A +0.5594609
333 (14d) 47A29F +0.5596503
334 (14e) 47A8D4 +0.5598397
335 (14f) 47AF0A +0.5600293
336 (150) 47B540 +0.5602188
337 (151) 47BB77 +0.5604085
338 (152) 47C1AE +0.5605981
339 (153) 47C7E6 +0.5607879
340 (154) 47CE1E +0.5609777
341 (155) 47D457 +0.5611676
342 (156) 47DA91 +0.5613576
343 (157) 47E0CB +0.5615476
344 (158) 47E706 +0.5617378
345 (159) 47ED41 +0.5619279
346 (15a) 47F37C +0.5621181
347 (15b) 47F9B8 +0.5623083
348 (15c) 47FFF5 +0.5624987
349 (15d) 480632 +0.5626891
350 (15e) 480C70 +0.5628796
351 (15f) 4812AF +0.5630702
352 (160) 4818EE +0.5632608
353 (161) 481F2D +0.5634514
354 (162) 48256D +0.5636421
355 (163) 482BAE +0.5638330
356 (164) 4831EF +0.5640239
357 (165) 483830 +0.5642147
358 (166) 483E72 +0.5644057
359 (167) 4844B5 +0.5645968
360 (168) 484AF8 +0.5647879
361 (169) 48513C +0.5649791
362 (16a) 485780 +0.5651703
363 (16b) 485DC5 +0.5653616
364 (16c) 48640B +0.5655531
365 (16d) 486A51 +0.5657445
366 (16e) 487097 +0.5659360
367 (16f) 4876DE +0.5661275
368 (170) 487D26 +0.5663192
369 (171) 48836E +0.5665109
370 (172) 4889B7 +0.5667027
371 (173) 489000 +0.5668945
372 (174) 489649 +0.5670863
373 (175) 489C94 +0.5672784
374 (176) 48A2DF +0.5674704
375 (177) 48A92A +0.5676625
376 (178) 48AF76 +0.5678546
377 (179) 48B5C2 +0.5680468
378 (17a) 48BC0F +0.5682391
379 (17b) 48C25D +0.5684315
380 (17c) 48C8AB +0.5686239
381 (17d) 48CEFA +0.5688164
382 (17e) 48D549 +0.5690089
383 (17f) 48DB99 +0.5692016
384 (180) 48E1E9 +0.5693942
385 (181) 48E83A +0.5695870
386 (182) 48EE8B +0.5697798
387 (183) 48F4DD +0.5699726
388 (184) 48FB30 +0.5701656
389 (185) 490183 +0.5703586
390 (186) 4907D7 +0.5705518
391 (187) 490E2B +0.5707449
392 (188) 49147F +0.5709380
393 (189) 491AD5 +0.5711313
394 (18a) 49212A +0.5713246
395 (18b) 492781 +0.5715181
396 (18c) 492DD8 +0.5717115
397 (18d) 49342F +0.5719050
398 (18e) 493A87 +0.5720986
399 (18f) 4940E0 +0.5722923
400 (190) 494739 +0.5724860
401 (191) 494D92 +0.5726798
402 (192) 4953ED +0.5728737
403 (193) 495A47 +0.5730675
404 (194) 4960A3 +0.5732616
405 (195) 4966FE +0.5734556
406 (196) 496D5B +0.5736498
407 (197) 4973B8 +0.5738440
408 (198) 497A15 +0.5740381
409 (199) 498073 +0.5742325
410 (19a) 4986D2 +0.5744269
411 (19b) 498D31 +0.5746213
412 (19c) 499391 +0.5748159
413 (19d) 4999F1 +0.5750104
414 (19e) 49A052 +0.5752051
415 (19f) 49A6B3 +0.5753998
416 (1a0) 49AD15 +0.5755945
417 (1a1) 49B377 +0.5757893
418 (1a2) 49B9DA +0.5759842
419 (1a3) 49C03E +0.5761793
420 (1a4) 49C6A2 +0.5763743
421 (1a5) 49CD07 +0.5765694
422 (1a6) 49D36C +0.5767646
423 (1a7) 49D9D2 +0.5769598
424 (1a8) 49E038 +0.5771551
425 (1a9) 49E69F +0.5773505
426 (1aa) 49ED07 +0.5775460
427 (1ab) 49F36F +0.5777415
428 (1ac) 49F9D7 +0.5779370
429 (1ad) 4A0040 +0.5781326
430 (1ae) 4A06AA +0.5783284
431 (1af) 4A0D14 +0.5785241
432 (1b0) 4A137F +0.5787200
433 (1b1) 4A19EA +0.5789158
434 (1b2) 4A2056 +0.5791118
435 (1b3) 4A26C3 +0.5793079
436 (1b4) 4A2D30 +0.5795040
437 (1b5) 4A339D +0.5797001
438 (1b6) 4A3A0B +0.5798963
439 (1b7) 4A407A +0.5800927
440 (1b8) 4A46E9 +0.5802890
441 (1b9) 4A4D59 +0.5804855
442 (1ba) 4A53C9 +0.5806819
443 (1bb) 4A5A3A +0.5808785
444 (1bc) 4A60AC +0.5810752
445 (1bd) 4A671E +0.5812719
446 (1be) 4A6D90 +0.5814686
447 (1bf) 4A7404 +0.5816655
448 (1c0) 4A7A77 +0.5818623
449 (1c1) 4A80EC +0.5820594
450 (1c2) 4A8760 +0.5822563
451 (1c3) 4A8DD6 +0.5824535
452 (1c4) 4A944C +0.5826507
453 (1c5) 4A9AC2 +0.5828478
454 (1c6) 4AA139 +0.5830451
455 (1c7) 4AA7B1 +0.5832425
456 (1c8) 4AAE29 +0.5834399
457 (1c9) 4AB4A2 +0.5836375
458 (1ca) 4ABB1B +0.5838350
459 (1cb) 4AC195 +0.5840327
460 (1cc) 4AC80F +0.5842303
461 (1cd) 4ACE8A +0.5844281
462 (1ce) 4AD506 +0.5846260
463 (1cf) 4ADB82 +0.5848238
464 (1d0) 4AE1FF +0.5850219
465 (1d1) 4AE87C +0.5852199
466 (1d2) 4AEEFA +0.5854180
467 (1d3) 4AF578 +0.5856161
468 (1d4) 4AFBF7 +0.5858144
469 (1d5) 4B0276 +0.5860126
470 (1d6) 4B08F7 +0.5862111
471 (1d7) 4B0F77 +0.5864094
472 (1d8) 4B15F8 +0.5866079
473 (1d9) 4B1C7A +0.5868065
474 (1da) 4B22FC +0.5870051
475 (1db) 4B297F +0.5872039
476 (1dc) 4B3003 +0.5874027
477 (1dd) 4B3687 +0.5876015
478 (1de) 4B3D0B +0.5878004
479 (1df) 4B4390 +0.5879993
480 (1e0) 4B4A16 +0.5881984
481 (1e1) 4B509C +0.5883975
482 (1e2) 4B5723 +0.5885967
483 (1e3) 4B5DAA +0.5887959
484 (1e4) 4B6432 +0.5889952
485 (1e5) 4B6ABB +0.5891947
486 (1e6) 4B7144 +0.5893941
487 (1e7) 4B77CE +0.5895936
488 (1e8) 4B7E58 +0.5897932
489 (1e9) 4B84E3 +0.5899929
490 (1ea) 4B8B6E +0.5901926
491 (1eb) 4B91FA +0.5903924
492 (1ec) 4B9886 +0.5905921
493 (1ed) 4B9F13 +0.5907921
494 (1ee) 4BA5A1 +0.5909921
495 (1ef) 4BAC2F +0.5911921
496 (1f0) 4BB2BE +0.5913923
497 (1f1) 4BB94D +0.5915924
498 (1f2) 4BBFDD +0.5917927
499 (1f3) 4BC66E +0.5919931
500 (1f4) 4BCCFF +0.5921935
501 (1f5) 4BD390 +0.5923939
502 (1f6) 4BDA23 +0.5925945
503 (1f7) 4BE0B5 +0.5927950
504 (1f8) 4BE749 +0.5929958
505 (1f9) 4BEDDC +0.5931964
506 (1fa) 4BF471 +0.5933973
507 (1fb) 4BFB06 +0.5935981
508 (1fc) 4C019C +0.5937991
509 (1fd) 4C0832 +0.5940001
510 (1fe) 4C0EC8 +0.5942011
511 (1ff) 4C1560 +0.5944023
512 (200) 4C1BF8 +0.5946035
513 (201) 4C2290 +0.5948048
514 (202) 4C2929 +0.5950061
515 (203) 4C2FC3 +0.5952076
516 (204) 4C365D +0.5954090
517 (205) 4C3CF8 +0.5956106
518 (206) 4C4393 +0.5958122
519 (207) 4C4A2F +0.5960139
520 (208) 4C50CB +0.5962156
521 (209) 4C5768 +0.5964174
522 (20a) 4C5E06 +0.5966194
523 (20b) 4C64A4 +0.5968213
524 (20c) 4C6B43 +0.5970234
525 (20d) 4C71E2 +0.5972254
526 (20e) 4C7882 +0.5974276
527 (20f) 4C7F22 +0.5976298
528 (210) 4C85C3 +0.5978321
529 (211) 4C8C65 +0.5980345
530 (212) 4C9307 +0.5982369
531 (213) 4C99AA +0.5984395
532 (214) 4CA04D +0.5986420
533 (215) 4CA6F1 +0.5988446
534 (216) 4CAD96 +0.5990474
535 (217) 4CB43B +0.5992502
536 (218) 4CBAE0 +0.5994530
537 (219) 4CC187 +0.5996560
538 (21a) 4CC82D +0.5998589
539 (21b) 4CCED5 +0.6000620
540 (21c) 4CD57D +0.6002651
541 (21d) 4CDC25 +0.6004683
542 (21e) 4CE2CE +0.6006715
543 (21f) 4CE978 +0.6008749
544 (220) 4CF022 +0.6010783
545 (221) 4CF6CD +0.6012818
546 (222) 4CFD78 +0.6014853
547 (223) 4D0424 +0.6016889
548 (224) 4D0AD1 +0.6018926
549 (225) 4D117E +0.6020963
550 (226) 4D182C +0.6023002
551 (227) 4D1EDA +0.6025040
552 (228) 4D2589 +0.6027080
553 (229) 4D2C38 +0.6029119
554 (22a) 4D32E8 +0.6031160
555 (22b) 4D3999 +0.6033202
556 (22c) 4D404A +0.6035244
557 (22d) 4D46FC +0.6037288
558 (22e) 4D4DAE +0.6039331
559 (22f) 4D5461 +0.6041375
560 (230) 4D5B15 +0.6043421
561 (231) 4D61C9 +0.6045467
562 (232) 4D687E +0.6047513
563 (233) 4D6F33 +0.6049560
564 (234) 4D75E9 +0.6051608
565 (235) 4D7C9F +0.6053656
566 (236) 4D8356 +0.6055706
567 (237) 4D8A0E +0.6057756
568 (238) 4D90C6 +0.6059806
569 (239) 4D977F +0.6061858
570 (23a) 4D9E38 +0.6063910
571 (23b) 4DA4F2 +0.6065962
572 (23c) 4DABAC +0.6068015
573 (23d) 4DB268 +0.6070070
574 (23e) 4DB923 +0.6072124
575 (23f) 4DBFDF +0.6074179
576 (240) 4DC69C +0.6076236
577 (241) 4DCD5A +0.6078293
578 (242) 4DD418 +0.6080351
579 (243) 4DDAD6 +0.6082408
580 (244) 4DE195 +0.6084467
581 (245) 4DE855 +0.6086527
582 (246) 4DEF16 +0.6088588
583 (247) 4DF5D6 +0.6090648
584 (248) 4DFC98 +0.6092710
585 (249) 4E035A +0.6094773
586 (24a) 4E0A1D +0.6096836
587 (24b) 4E10E0 +0.6098900
