# P:$141CA7  filter_coeff_base_tbl  (1201 words)
# FILTER: cutoff->coefficient table, indexed by env-modulated BASE x $4AF>>24 (0..1199); used at P:$058B kernel
#  idx | hex     signed24   fraction(24-bit)
   374 | 7FECEE   8383726   0.9994180
   375 | 7FECB8   8383672   0.9994116
   376 | 7FEC83   8383619   0.9994053
   377 | 7FEC4C   8383564   0.9993987
   378 | 7FEC15   8383509   0.9993922
   379 | 7FEBDE   8383454   0.9993856
   380 | 7FEBA6   8383398   0.9993789
   381 | 7FEB6D   8383341   0.9993721
   382 | 7FEB34   8383284   0.9993653
   383 | 7FEAFA   8383226   0.9993584
   384 | 7FEABF   8383167   0.9993514
   385 | 7FEA84   8383108   0.9993443
   386 | 7FEA48   8383048   0.9993372
   387 | 7FEA0B   8382987   0.9993299
   388 | 7FE9CE   8382926   0.9993227
   389 | 7FE990   8382864   0.9993153
   390 | 7FE952   8382802   0.9993079
   391 | 7FE913   8382739   0.9993004
   392 | 7FE8D3   8382675   0.9992927
   393 | 7FE892   8382610   0.9992850
   394 | 7FE851   8382545   0.9992772
   395 | 7FE80F   8382479   0.9992694
   396 | 7FE7CC   8382412   0.9992614
   397 | 7FE789   8382345   0.9992534
   398 | 7FE744   8382276   0.9992452
   399 | 7FE700   8382208   0.9992371
   400 | 7FE6BA   8382138   0.9992287
   401 | 7FE673   8382067   0.9992203
   402 | 7FE62C   8381996   0.9992118
   403 | 7FE5E4   8381924   0.9992032
   404 | 7FE59B   8381851   0.9991945
   405 | 7FE552   8381778   0.9991858
   406 | 7FE507   8381703   0.9991769
   407 | 7FE4BC   8381628   0.9991679
   408 | 7FE470   8381552   0.9991589
   409 | 7FE424   8381476   0.9991498
   410 | 7FE3D6   8381398   0.9991405
   411 | 7FE387   8381319   0.9991311
   412 | 7FE338   8381240   0.9991217
   413 | 7FE2E8   8381160   0.9991121
   414 | 7FE297   8381079   0.9991025
   415 | 7FE245   8380997   0.9990927
   416 | 7FE1F2   8380914   0.9990828
   417 | 7FE19E   8380830   0.9990728
   418 | 7FE149   8380745   0.9990627
   419 | 7FE0F4   8380660   0.9990525
   420 | 7FE09D   8380573   0.9990422
   421 | 7FE046   8380486   0.9990318
   422 | 7FDFED   8380397   0.9990212
   423 | 7FDF94   8380308   0.9990106
   424 | 7FDF3A   8380218   0.9989998
   425 | 7FDEDE   8380126   0.9989889
   426 | 7FDE82   8380034   0.9989779
   427 | 7FDE25   8379941   0.9989668
   428 | 7FDDC6   8379846   0.9989555
   429 | 7FDD67   8379751   0.9989442
   430 | 7FDD06   8379654   0.9989326
   431 | 7FDCA5   8379557   0.9989210
   432 | 7FDC42   8379458   0.9989092
   433 | 7FDBDF   8379359   0.9988974
   434 | 7FDB7A   8379258   0.9988854
   435 | 7FDB14   8379156   0.9988732
   436 | 7FDAAD   8379053   0.9988610
   437 | 7FDA45   8378949   0.9988486
   438 | 7FD9DC   8378844   0.9988360
   439 | 7FD972   8378738   0.9988234
   440 | 7FD906   8378630   0.9988105
   441 | 7FD89A   8378522   0.9987977
   442 | 7FD82C   8378412   0.9987845
   443 | 7FD7BD   8378301   0.9987713
   444 | 7FD74D   8378189   0.9987580
   445 | 7FD6DB   8378075   0.9987444
   446 | 7FD669   8377961   0.9987308
   447 | 7FD5F5   8377845   0.9987170
   448 | 7FD57F   8377727   0.9987029
   449 | 7FD509   8377609   0.9986888
   450 | 7FD491   8377489   0.9986745
   451 | 7FD418   8377368   0.9986601
   452 | 7FD39E   8377246   0.9986455
   453 | 7FD322   8377122   0.9986308
   454 | 7FD2A5   8376997   0.9986159
   455 | 7FD227   8376871   0.9986008
   456 | 7FD1A7   8376743   0.9985856
   457 | 7FD126   8376614   0.9985702
   458 | 7FD0A3   8376483   0.9985546
   459 | 7FD01F   8376351   0.9985389
   460 | 7FCF9A   8376218   0.9985230
   461 | 7FCF13   8376083   0.9985069
   462 | 7FCE8B   8375947   0.9984907
   463 | 7FCE01   8375809   0.9984742
   464 | 7FCD75   8375669   0.9984576
   465 | 7FCCE8   8375528   0.9984407
   466 | 7FCC5A   8375386   0.9984238
   467 | 7FCBCA   8375242   0.9984066
   468 | 7FCB39   8375097   0.9983894
   469 | 7FCAA6   8374950   0.9983718
   470 | 7FCA11   8374801   0.9983541
   471 | 7FC97B   8374651   0.9983362
   472 | 7FC8E3   8374499   0.9983181
   473 | 7FC849   8374345   0.9982997
   474 | 7FC7AE   8374190   0.9982812
   475 | 7FC711   8374033   0.9982625
   476 | 7FC672   8373874   0.9982436
   477 | 7FC5D2   8373714   0.9982245
   478 | 7FC530   8373552   0.9982052
   479 | 7FC48C   8373388   0.9981856
   480 | 7FC3E6   8373222   0.9981658
   481 | 7FC33F   8373055   0.9981459
   482 | 7FC295   8372885   0.9981257
   483 | 7FC1EA   8372714   0.9981053
   484 | 7FC13D   8372541   0.9980847
   485 | 7FC08E   8372366   0.9980638
   486 | 7FBFDD   8372189   0.9980427
   487 | 7FBF2B   8372011   0.9980215
   488 | 7FBE76   8371830   0.9979999
   489 | 7FBDBF   8371647   0.9979781
   490 | 7FBD07   8371463   0.9979562
   491 | 7FBC4C   8371276   0.9979339
   492 | 7FBB8F   8371087   0.9979113
   493 | 7FBAD1   8370897   0.9978887
   494 | 7FBA10   8370704   0.9978657
   495 | 7FB94D   8370509   0.9978424
   496 | 7FB888   8370312   0.9978189
   497 | 7FB7C1   8370113   0.9977952
   498 | 7FB6F7   8369911   0.9977711
   499 | 7FB62C   8369708   0.9977469
   500 | 7FB55E   8369502   0.9977224
   501 | 7FB48E   8369294   0.9976976
