# P:$142158  filter_tbl_142158  (1600 words)
# FILTER stage2 table, indexed 0..1599 (min(idx,$63F)); used at P:$0630/0666/0700/072D
#  idx | hex     signed24   fraction(24-bit)
   321 | 00305A     12378   0.0014756
   322 | 00309D     12445   0.0014836
   323 | 0030E1     12513   0.0014917
   324 | 003125     12581   0.0014998
   325 | 003169     12649   0.0015079
   326 | 0031AE     12718   0.0015161
   327 | 0031F3     12787   0.0015243
   328 | 003238     12856   0.0015326
   329 | 00327E     12926   0.0015409
   330 | 0032C4     12996   0.0015492
   331 | 00330B     13067   0.0015577
   332 | 003352     13138   0.0015662
   333 | 003399     13209   0.0015746
   334 | 0033E1     13281   0.0015832
   335 | 003429     13353   0.0015918
   336 | 003472     13426   0.0016005
   337 | 0034BA     13498   0.0016091
   338 | 003504     13572   0.0016179
   339 | 00354D     13645   0.0016266
   340 | 003598     13720   0.0016356
   341 | 0035E2     13794   0.0016444
   342 | 00362D     13869   0.0016533
   343 | 003678     13944   0.0016623
   344 | 0036C4     14020   0.0016713
   345 | 003710     14096   0.0016804
   346 | 00375D     14173   0.0016896
   347 | 0037AA     14250   0.0016987
   348 | 0037F7     14327   0.0017079
   349 | 003845     14405   0.0017172
   350 | 003893     14483   0.0017265
   351 | 0038E2     14562   0.0017359
   352 | 003931     14641   0.0017453
   353 | 003980     14720   0.0017548
   354 | 0039D0     14800   0.0017643
   355 | 003A20     14880   0.0017738
   356 | 003A71     14961   0.0017835
   357 | 003AC3     15043   0.0017933
   358 | 003B14     15124   0.0018029
   359 | 003B66     15206   0.0018127
   360 | 003BB9     15289   0.0018226
   361 | 003C0C     15372   0.0018325
   362 | 003C5F     15455   0.0018424
   363 | 003CB3     15539   0.0018524
   364 | 003D08     15624   0.0018625
   365 | 003D5D     15709   0.0018727
   366 | 003DB2     15794   0.0018828
   367 | 003E08     15880   0.0018930
   368 | 003E5E     15966   0.0019033
   369 | 003EB4     16052   0.0019135
   370 | 003F0C     16140   0.0019240
   371 | 003F63     16227   0.0019344
   372 | 003FBB     16315   0.0019449
   373 | 004014     16404   0.0019555
   374 | 00406D     16493   0.0019661
   375 | 0040C7     16583   0.0019768
   376 | 004121     16673   0.0019876
   377 | 00417B     16763   0.0019983
   378 | 0041D6     16854   0.0020092
   379 | 004232     16946   0.0020201
   380 | 00428E     17038   0.0020311
   381 | 0042EA     17130   0.0020421
   382 | 004347     17223   0.0020531
   383 | 0043A5     17317   0.0020643
