# P:$143C06  kernel_tbl_143C06  (911 words)
# kernel tbl: P:$0660/068C region (gain/env), DSP2 loader ref P:$1114C3
#  idx | hex     signed24   fraction(24-bit)
   248 | 58A851   5810257   0.6926366
   249 | 5C2B62   6040418   0.7200739
   250 | 5FD211   6279697   0.7485982
   251 | 639DC7   6528455   0.7782525
   252 | 678FFB   6787067   0.8090814
   253 | 6BAA33   7055923   0.8411316
   254 | 6FEE05   7335429   0.8744513
   255 | 745D17   7626007   0.9090909
   256 | 0012B0      4784   0.0005703
   257 | 001355      4949   0.0005900
   258 | 001400      5120   0.0006104
   259 | 0014B1      5297   0.0006315
   260 | 001568      5480   0.0006533
   261 | 001626      5670   0.0006759
   262 | 0016E9      5865   0.0006992
   263 | 0017B4      6068   0.0007234
   264 | 001886      6278   0.0007484
   265 | 00195F      6495   0.0007743
   266 | 001A3F      6719   0.0008010
   267 | 001B27      6951   0.0008286
   268 | 001C17      7191   0.0008572
   269 | 001D10      7440   0.0008869
   270 | 001E11      7697   0.0009176
   271 | 001F1B      7963   0.0009493
   272 | 00202E      8238   0.0009820
   273 | 00214A      8522   0.0010159
   274 | 002271      8817   0.0010511
   275 | 0023A1      9121   0.0010873
   276 | 0024DC      9436   0.0011249
   277 | 002622      9762   0.0011637
   278 | 002773     10099   0.0012039
   279 | 0028D0     10448   0.0012455
   280 | 002A39     10809   0.0012885
   281 | 002BAE     11182   0.0013330
   282 | 002D31     11569   0.0013791
   283 | 002EC0     11968   0.0014267
   284 | 00305E     12382   0.0014760
   285 | 003209     12809   0.0015270
   286 | 0033C3     13251   0.0015796
   287 | 00358D     13709   0.0016342
   288 | 003767     14183   0.0016907
   289 | 003950     14672   0.0017490
   290 | 003B4B     15179   0.0018095
   291 | 003D57     15703   0.0018719
   292 | 003F75     16245   0.0019366
   293 | 0041A6     16806   0.0020034
   294 | 0043EA     17386   0.0020726
   295 | 004643     17987   0.0021442
   296 | 0048B0     18608   0.0022182
   297 | 004B32     19250   0.0022948
   298 | 004DCA     19914   0.0023739
   299 | 00507A     20602   0.0024559
   300 | 005341     21313   0.0025407
   301 | 005621     22049   0.0026284
   302 | 00591A     22810   0.0027192
   303 | 005C2D     23597   0.0028130
   304 | 005F5B     24411   0.0029100
   305 | 0062A6     25254   0.0030105
   306 | 00660D     26125   0.0031143
   307 | 006993     27027   0.0032219
   308 | 006D37     27959   0.0033330
   309 | 0070FC     28924   0.0034480
   310 | 0074E2     29922   0.0035670
   311 | 0078EA     30954   0.0036900
   312 | 007D16     32022   0.0038173
   313 | 008166     33126   0.0039489
   314 | 0085DD     34269   0.0040852
   315 | 008A7B     35451   0.0042261
   316 | 008F41     36673   0.0043718
   317 | 009432     37938   0.0045226
   318 | 00994E     39246   0.0046785
   319 | 009E97     40599   0.0048398
   320 | 00A40F     41999   0.0050067
   321 | 00A9B6     43446   0.0051792
   322 | 00AF90     44944   0.0053577
   323 | 00B59D     46493   0.0055424
   324 | 00BBDF     48095   0.0057334
   325 | 00C259     49753   0.0059310
   326 | 00C90B     51467   0.0061353
   327 | 00CFF8     53240   0.0063467
   328 | 00D722     55074   0.0065653
   329 | 00DE8B     56971   0.0067915
   330 | 00E635     58933   0.0070254
   331 | 00EE22     60962   0.0072672
   332 | 00F655     63061   0.0075175
   333 | 00FED0     65232   0.0077763
   334 | 010796     67478   0.0080440
   335 | 0110A8     69800   0.0083208
   336 | 011A0A     72202   0.0086071
   337 | 0123BF     74687   0.0089034
   338 | 012DC8     77256   0.0092096
   339 | 013829     79913   0.0095264
   340 | 0142E6     82662   0.0098541
   341 | 014E00     85504   0.0101929
   342 | 01597B     88443   0.0105432
   343 | 01655B     91483   0.0109056
   344 | 0171A3     94627   0.0112804
   345 | 017E57     97879   0.0116681
   346 | 018B79    101241   0.0120689
   347 | 01990E    104718   0.0124834
   348 | 01A71A    108314   0.0129120
   349 | 01B5A0    112032   0.0133553
   350 | 01C4A5    115877   0.0138136
   351 | 01D42E    119854   0.0142877
   352 | 01E43D    123965   0.0147778
   353 | 01F4D9    128217   0.0152847
   354 | 020605    132613   0.0158087
   355 | 0217C7    137159   0.0163506
   356 | 022A23    141859   0.0169109
   357 | 023D1E    146718   0.0174901
   358 | 0250BF    151743   0.0180892
   359 | 02650A    156938   0.0187085
   360 | 027A05    162309   0.0193487
   361 | 028FB7    167863   0.0200108
   362 | 02A624    173604   0.0206952
   363 | 02BD53    179539   0.0214027
   364 | 02D54B    185675   0.0221342
   365 | 02EE12    192018   0.0228903
   366 | 0307B0    198576   0.0236721
   367 | 03222A    205354   0.0244801
   368 | 033D89    212361   0.0253154
   369 | 0359D3    219603   0.0261787
   370 | 037712    227090   0.0270712
   371 | 03954B    234827   0.0279936
   372 | 03B489    242825   0.0289470
   373 | 03D4D2    251090   0.0299323
   374 | 03F631    259633   0.0309507
   375 | 0418AD    268461   0.0320030
   376 | 043C50    277584   0.0330906
   377 | 046124    287012   0.0342145
   378 | 048732    296754   0.0353758
   379 | 04AE85    306821   0.0365759
   380 | 04D726    317222   0.0378158
   381 | 050120    327968   0.0390968
   382 | 052C7F    339071   0.0404204
   383 | 05594E    350542   0.0417879
   384 | 058798    362392   0.0432005
   385 | 05B769    374633   0.0446597
   386 | 05E8CD    387277   0.0461670
   387 | 061BD1    400337   0.0477239
   388 | 065083    413827   0.0493320
