# X:$14A000  X_14A000_sine8k_full  (8192 words)
# m18 phaser LFO quadrature SIN (read at $144ED4/$145076: x:(r0+$14a000),a)
# 3 bytes/word big-endian signed 24-bit fraction = word/2^23
#  idx | hex     signed24   fraction(24-bit)
   220 | 157F00   1408768   +0.1679382
   221 | 1597C7   1415111   +0.1686944
   222 | 15B08C   1421452   +0.1694503
   223 | 15C950   1427792   +0.1702061
   224 | 15E214   1434132   +0.1709619
   225 | 15FAD7   1440471   +0.1717175
   226 | 161399   1446809   +0.1724731
   227 | 162C5A   1453146   +0.1732285
   228 | 16451A   1459482   +0.1739838
   229 | 165DDA   1465818   +0.1747391
   230 | 167698   1472152   +0.1754942
   231 | 168F56   1478486   +0.1762493
   232 | 16A813   1484819   +0.1770042
   233 | 16C0CF   1491151   +0.1777591
   234 | 16D98A   1497482   +0.1785138
   235 | 16F244   1503812   +0.1792684
   236 | 170AFD   1510141   +0.1800228
   237 | 1723B6   1516470   +0.1807773
   238 | 173C6D   1522797   +0.1815315
   239 | 175524   1529124   +0.1822858
   240 | 176DDA   1535450   +0.1830399
   241 | 17868F   1541775   +0.1837939
   242 | 179F42   1548098   +0.1845477
   243 | 17B7F5   1554421   +0.1853014
   244 | 17D0A8   1560744   +0.1860552
   245 | 17E959   1567065   +0.1868087
   246 | 180209   1573385   +0.1875621
   247 | 181AB8   1579704   +0.1883154
   248 | 183367   1586023   +0.1890687
   249 | 184C14   1592340   +0.1898217
   250 | 1864C1   1598657   +0.1905748
   251 | 187D6C   1604972   +0.1913276
   252 | 189617   1611287   +0.1920804
   253 | 18AEC1   1617601   +0.1928331
   254 | 18C769   1623913   +0.1935855
   255 | 18E011   1630225   +0.1943380
   256 | 18F8B8   1636536   +0.1950903
   257 | 19115E   1642846   +0.1958425
   258 | 192A03   1649155   +0.1965946
   259 | 1942A7   1655463   +0.1973466
   260 | 195B4A   1661770   +0.1980984
   261 | 1973EC   1668076   +0.1988502
   262 | 198C8D   1674381   +0.1996018
   263 | 19A52D   1680685   +0.2003533
   264 | 19BDCC   1686988   +0.2011046
   265 | 19D66A   1693290   +0.2018559
   266 | 19EF07   1699591   +0.2026070
   267 | 1A07A3   1705891   +0.2033581
   268 | 1A203E   1712190   +0.2041090
   269 | 1A38D8   1718488   +0.2048597
   270 | 1A5171   1724785   +0.2056104
   271 | 1A6A09   1731081   +0.2063609
   272 | 1A82A0   1737376   +0.2071114
   273 | 1A9B36   1743670   +0.2078617
   274 | 1AB3CB   1749963   +0.2086118
   275 | 1ACC5F   1756255   +0.2093619
   276 | 1AE4F2   1762546   +0.2101119
   277 | 1AFD83   1768835   +0.2108616
   278 | 1B1614   1775124   +0.2116113
   279 | 1B2EA4   1781412   +0.2123609
   280 | 1B4733   1787699   +0.2131103
   281 | 1B5FC0   1793984   +0.2138596
   282 | 1B784D   1800269   +0.2146088
   283 | 1B90D9   1806553   +0.2153579
   284 | 1BA963   1812835   +0.2161068
   285 | 1BC1EC   1819116   +0.2168555
   286 | 1BDA75   1825397   +0.2176043
   287 | 1BF2FC   1831676   +0.2183528
   288 | 1C0B82   1837954   +0.2191012
   289 | 1C2407   1844231   +0.2198495
   290 | 1C3C8B   1850507   +0.2205976
   291 | 1C550E   1856782   +0.2213457
   292 | 1C6D90   1863056   +0.2220936
   293 | 1C8611   1869329   +0.2228414
   294 | 1C9E90   1875600   +0.2235889
   295 | 1CB70F   1881871   +0.2243365
   296 | 1CCF8C   1888140   +0.2250838
   297 | 1CE809   1894409   +0.2258312
   298 | 1D0084   1900676   +0.2265782
   299 | 1D18FE   1906942   +0.2273252
   300 | 1D3177   1913207   +0.2280720
   301 | 1D49EF   1919471   +0.2288188
   302 | 1D6266   1925734   +0.2295654
   303 | 1D7ADB   1931995   +0.2303118
   304 | 1D9350   1938256   +0.2310581
   305 | 1DABC3   1944515   +0.2318043
   306 | 1DC435   1950773   +0.2325503
   307 | 1DDCA6   1957030   +0.2332962
   308 | 1DF516   1963286   +0.2340419
   309 | 1E0D85   1969541   +0.2347876
   310 | 1E25F2   1975794   +0.2355330
   311 | 1E3E5F   1982047   +0.2362784
   312 | 1E56CA   1988298   +0.2370236
   313 | 1E6F34   1994548   +0.2377687
   314 | 1E879D   2000797   +0.2385136
   315 | 1EA005   2007045   +0.2392584
   316 | 1EB86B   2013291   +0.2400030
   317 | 1ED0D0   2019536   +0.2407475
   318 | 1EE935   2025781   +0.2414919
   319 | 1F0197   2032023   +0.2422360
   320 | 1F19F9   2038265   +0.2429801
