# P:$143F95  filter_div_table_1  (1201 words)
# FILTER: div table 1, indexed by BASE cutoff x $4AF>>24 (0..1199); used at P:$057D kernel
#  idx | hex     signed24   fraction(24-bit)
   339 | 00EC3C     60476   0.0072093
   340 | 00ED84     60804   0.0072484
   341 | 00EECE     61134   0.0072877
   342 | 00F01A     61466   0.0073273
   343 | 00F168     61800   0.0073671
   344 | 00F2B8     62136   0.0074072
   345 | 00F409     62473   0.0074474
   346 | 00F55C     62812   0.0074878
   347 | 00F6B1     63153   0.0075284
   348 | 00F808     63496   0.0075693
   349 | 00F961     63841   0.0076104
   350 | 00FABC     64188   0.0076518
   351 | 00FC18     64536   0.0076933
   352 | 00FD77     64887   0.0077351
   353 | 00FED7     65239   0.0077771
   354 | 010039     65593   0.0078193
   355 | 01019E     65950   0.0078619
   356 | 010304     66308   0.0079045
   357 | 01046C     66668   0.0079474
   358 | 0105D6     67030   0.0079906
   359 | 010742     67394   0.0080340
   360 | 0108B0     67760   0.0080776
   361 | 010A20     68128   0.0081215
   362 | 010B92     68498   0.0081656
   363 | 010D05     68869   0.0082098
   364 | 010E7B     69243   0.0082544
   365 | 010FF3     69619   0.0082992
   366 | 01116E     69998   0.0083444
   367 | 0112EA     70378   0.0083897
   368 | 011468     70760   0.0084352
   369 | 0115E8     71144   0.0084810
   370 | 01176A     71530   0.0085270
   371 | 0118EF     71919   0.0085734
   372 | 011A75     72309   0.0086199
   373 | 011BFE     72702   0.0086668
   374 | 011D89     73097   0.0087138
   375 | 011F16     73494   0.0087612
   376 | 0120A5     73893   0.0088087
   377 | 012236     74294   0.0088565
   378 | 0123C9     74697   0.0089046
   379 | 01255F     75103   0.0089530
   380 | 0126F7     75511   0.0090016
   381 | 012891     75921   0.0090505
   382 | 012A2D     76333   0.0090996
   383 | 012BCC     76748   0.0091491
   384 | 012D6C     77164   0.0091987
   385 | 012F0F     77583   0.0092486
   386 | 0130B5     78005   0.0092989
   387 | 01325C     78428   0.0093493
   388 | 013406     78854   0.0094001
   389 | 0135B2     79282   0.0094512
   390 | 013761     79713   0.0095025
   391 | 013912     80146   0.0095541
   392 | 013AC5     80581   0.0096060
   393 | 013C7B     81019   0.0096582
   394 | 013E33     81459   0.0097107
   395 | 013FED     81901   0.0097634
   396 | 0141AA     82346   0.0098164
   397 | 014369     82793   0.0098697
   398 | 01452A     83242   0.0099232
   399 | 0146EE     83694   0.0099771
   400 | 0148B5     84149   0.0100313
   401 | 014A7E     84606   0.0100858
   402 | 014C49     85065   0.0101405
   403 | 014E17     85527   0.0101956
   404 | 014FE8     85992   0.0102510
   405 | 0151BB     86459   0.0103067
   406 | 015390     86928   0.0103626
   407 | 015568     87400   0.0104189
   408 | 015743     87875   0.0104755
   409 | 015920     88352   0.0105324
   410 | 015B00     88832   0.0105896
   411 | 015CE2     89314   0.0106471
   412 | 015EC7     89799   0.0107049
   413 | 0160AF     90287   0.0107630
   414 | 016299     90777   0.0108215
   415 | 016486     91270   0.0108802
   416 | 016676     91766   0.0109394
   417 | 016868     92264   0.0109987
   418 | 016A5D     92765   0.0110584
   419 | 016C55     93269   0.0111185
   420 | 016E4F     93775   0.0111789
   421 | 01704C     94284   0.0112395
   422 | 01724C     94796   0.0113006
   423 | 01744F     95311   0.0113620
   424 | 017655     95829   0.0114237
   425 | 01785D     96349   0.0114857
   426 | 017A68     96872   0.0115480
   427 | 017C76     97398   0.0116107
   428 | 017E87     97927   0.0116738
   429 | 01809B     98459   0.0117372
   430 | 0182B2     98994   0.0118010
   431 | 0184CB     99531   0.0118650
   432 | 0186E8    100072   0.0119295
   433 | 018907    100615   0.0119942
   434 | 018B2A    101162   0.0120595
   435 | 018D4F    101711   0.0121249
   436 | 018F77    102263   0.0121907
   437 | 0191A3    102819   0.0122570
   438 | 0193D1    103377   0.0123235
   439 | 019602    103938   0.0123904
   440 | 019837    104503   0.0124577
   441 | 019A6E    105070   0.0125253
   442 | 019CA9    105641   0.0125934
   443 | 019EE7    106215   0.0126618
   444 | 01A127    106791   0.0127305
   445 | 01A36B    107371   0.0127996
   446 | 01A5B2    107954   0.0128691
   447 | 01A7FD    108541   0.0129391
   448 | 01AA4A    109130   0.0130093
   449 | 01AC9B    109723   0.0130800
   450 | 01AEEF    110319   0.0131510
   451 | 01B146    110918   0.0132225
   452 | 01B3A0    111520   0.0132942
   453 | 01B5FE    112126   0.0133665
   454 | 01B85E    112734   0.0134389
   455 | 01BAC3    113347   0.0135120
   456 | 01BD2A    113962   0.0135853
   457 | 01BF95    114581   0.0136591
   458 | 01C203    115203   0.0137333
   459 | 01C475    115829   0.0138079
