# P:$142F06  kernel_tbl_142F06  (384 words)
# kernel tbl: interp partner at P:$0637-0639; EQ region P:$07D9/0860
#  idx | hex     signed24   fraction(24-bit)
   357 | 7FCAA0   8374944   0.9983711
   358 | 7FCA56   8374870   0.9983623
   359 | 7FCA0B   8374795   0.9983534
   360 | 7FC9C0   8374720   0.9983444
   361 | 7FC975   8374645   0.9983355
   362 | 7FC929   8374569   0.9983264
   363 | 7FC8DD   8374493   0.9983174
   364 | 7FC891   8374417   0.9983083
   365 | 7FC844   8374340   0.9982991
   366 | 7FC7F6   8374262   0.9982898
   367 | 7FC7A8   8374184   0.9982805
   368 | 7FC75A   8374106   0.9982712
   369 | 7FC70C   8374028   0.9982619
   370 | 7FC6BC   8373948   0.9982524
   371 | 7FC66D   8373869   0.9982430
   372 | 7FC61D   8373789   0.9982334
   373 | 7FC5CD   8373709   0.9982239
   374 | 7FC57C   8373628   0.9982142
   375 | 7FC52A   8373546   0.9982045
   376 | 7FC4D9   8373465   0.9981948
   377 | 7FC487   8373383   0.9981850
   378 | 7FC434   8373300   0.9981751
   379 | 7FC3E1   8373217   0.9981652
   380 | 7FC38D   8373133   0.9981552
   381 | 7FC339   8373049   0.9981452
   382 | 7FC2E5   8372965   0.9981352
   383 | 7FC290   8372880   0.9981251
